Table 78,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees,,,,
"by City, 2010",,,,
City,Population,"Total law
enforcement
employees","Total
officers","Total
civilians"
Alameda,"71,016",130,85,45
Albany,"16,096",34,25,9
Alhambra,"84,987",128,84,44
Alturas,"2,733",8,7,1
Anaheim,"338,492",548,389,159
Anderson,"10,851",26,16,10
Antioch,"102,125",133,104,29
Arcadia,"56,465",95,65,30
Arcata,"17,172",36,26,10
Arroyo Grande,"17,358",31,25,6
Arvin,"15,410",27,18,9
Atascadero,"28,468",35,26,9
Atherton,"7,527",22,17,5
Atwater,"26,495",46,36,10
Auburn,"13,432",29,22,7
Azusa,"46,824",87,59,28
Bakersfield,"333,458",469,349,120
Baldwin Park,"77,127",100,72,28
Banning,"29,563",44,33,11
Barstow,"24,704",52,39,13
Bear Valley,"4,655",17,8,9
Beaumont,"37,399",73,56,17
Bell,"36,506",45,32,13
Bell Gardens,"44,591",72,53,19
Belmont,"24,881",43,31,12
Belvedere,"2,050",10,9,1
Benicia,"26,082",51,36,15
Berkeley,"102,700",267,171,96
Beverly Hills,"34,329",181,127,54
Bishop,"3,412",18,12,6
Blythe,"21,365",31,22,9
Brawley,"23,464",52,38,14
Brea,"38,725",134,97,37
Brentwood,"53,312",77,61,16
Brisbane,"3,712",16,13,3
Broadmoor,"4,428",9,9,0
Buena Park,"79,929",135,90,45
Burbank,"103,304",236,149,87
Burlingame,"27,838",52,36,16
Calexico,"40,186",59,40,19
California City,"15,573",22,15,7
Calipatria,"7,715",4,4,0
Calistoga,"5,252",15,11,4
Campbell,"38,854",62,40,22
Capitola,"9,747",29,21,8
Carlsbad,"100,461",157,110,47
Carmel,"3,882",20,13,7
Cathedral City,"53,449",91,53,38
Ceres,"43,505",66,49,17
Chico,"85,630",146,97,49
Chino,"84,170",150,102,48
Chowchilla,"19,795",23,17,6
Chula Vista,"229,060",312,230,82
Citrus Heights,"84,476",133,87,46
City of Angels,"3,774",7,6,1
Claremont,"35,527",58,35,23
Clayton,"11,487",13,11,2
Clearlake,"15,352",27,18,9
Cloverdale,"8,357",23,15,8
Clovis,"95,901",142,94,48
Coalinga,"18,833",30,21,9
Colma,"1,456",24,17,7
Colton,"50,706",81,58,23
Colusa,"5,952",9,8,1
Concord,"122,119",196,147,49
Corcoran,"25,112",31,19,12
Corning,"7,323",25,15,10
Corona,"153,311",244,172,72
Coronado,"22,033",61,43,18
Costa Mesa,"110,424",201,147,54
Cotati,"7,306",15,9,6
Covina,"46,728",85,55,30
Crescent City,"7,809",15,14,1
Culver City,"38,342",146,99,47
Cypress,"47,320",75,56,19
Daly City,"101,939",152,108,44
Davis,"63,292",90,58,32
Delano,"54,298",74,46,28
Del Rey Oaks,"1,529",6,6,0
Desert Hot Springs,"25,309",31,25,6
Dinuba,"21,094",45,35,10
Dixon,"17,518",28,24,4
Dos Palos,"4,951",8,7,1
Downey,"106,992",165,118,47
East Palo Alto,"34,294",47,37,10
El Cajon,"94,311",184,120,64
El Centro,"41,535",75,52,23
El Cerrito,"22,263",51,43,8
Elk Grove,"142,330",197,123,74
El Monte,"121,884",172,127,45
El Segundo,"16,181",88,63,25
Emeryville,"10,207",55,38,17
Escalon,"7,463",13,10,3
Escondido,"140,662",214,160,54
Etna,764,2,1,1
Eureka,"25,143",75,48,27
Exeter,"10,048",18,17,1
Fairfax,"7,071",16,11,5
Fairfield,"104,202",182,114,68
Farmersville,"10,211",16,14,2
Ferndale,"1,383",4,4,0
Firebaugh,"7,079",16,12,4
Folsom,"69,497",99,74,25
Fontana,"192,595",275,184,91
Fort Bragg,"6,550",21,16,5
Fortuna,"11,434",27,18,9
Foster City,"29,283",50,35,15
Fountain Valley,"55,879",76,56,20
Fowler,"5,769",11,10,1
Fremont,"205,477",277,178,99
Fresno,"484,734","1,007",793,214
Fullerton,"133,139",216,147,69
Galt,"24,517",46,35,11
Gardena,"58,358",120,89,31
Garden Grove,"166,287",229,161,68
Gilroy,"51,108",86,58,28
Glendale,"196,877",367,254,113
Glendora,"49,720",92,49,43
Gonzales,"8,830",12,9,3
Grass Valley,"12,330",31,23,8
Greenfield,"15,626",19,15,4
Gridley,"6,528",20,15,5
Grover Beach,"13,199",28,18,10
Guadalupe,"6,692",13,11,2
Gustine,"5,130",8,6,2
Half Moon Bay,"12,648",15,12,3
Hanford,"50,903",74,51,23
Hawthorne,"83,849",133,96,37
Hayward,"144,509",312,199,113
Healdsburg,"11,146",24,16,8
Hemet,"73,111",90,66,24
Hercules,"25,192",33,29,4
Hermosa Beach,"19,408",57,34,23
Hillsborough,"10,951",34,25,9
Hollister,"35,056",33,25,8
Huntington Beach,"193,545",339,215,124
Huntington Park,"60,514",119,69,50
Huron,"8,220",15,11,4
Imperial,"14,727",19,16,3
Indio,"89,621",106,70,36
Inglewood,"112,100",270,188,82
Ione,"7,744",7,6,1
Irvine,"217,193",289,200,89
Irwindale,"1,431",35,26,9
Isleton,843,1,1,0
Jackson,"4,258",10,9,1
Kensington,"5,430",10,10,0
Kerman,"13,293",21,18,3
King City,"11,704",22,19,3
Kingsburg,"11,461",21,14,7
Laguna Beach,"24,147",84,47,37
La Habra,"59,355",95,62,33
Lakeport,"5,256",13,11,2
Lake Shastina,"2,409",5,4,1
La Mesa,"55,580",97,67,30
La Palma,"15,733",32,24,8
La Verne,"34,066",59,40,19
Lemoore,"24,766",34,27,7
Lincoln,"50,936",41,31,10
Lindsay,"10,725",26,18,8
Livermore,"81,769",128,83,45
Livingston,"13,679",29,19,10
Lodi,"61,812",111,72,39
Lompoc,"41,049",70,50,20
Long Beach,"462,267","1,252",889,363
Los Alamitos,"11,698",26,22,4
Los Altos,"28,652",47,30,17
Los Angeles,"3,841,707","12,754","9,858","2,896"
Los Banos,"36,124",58,38,20
Los Gatos,"29,558",61,42,19
Madera,"58,147",77,59,18
Mammoth Lakes,"7,413",21,18,3
Manhattan Beach,"36,803",99,65,34
Manteca,"67,344",86,59,27
Marina,"17,921",39,30,9
Martinez,"35,344",55,39,16
Marysville,"11,548",30,20,10
McFarland,"12,452",10,7,3
Mendota,"10,690",14,12,2
Menlo Park,"30,202",73,48,25
Merced,"77,484",132,96,36
Millbrae,"21,295",22,18,4
Mill Valley,"13,372",26,21,5
Milpitas,"68,371",106,84,22
Modesto,"203,890",319,236,83
Monrovia,"37,544",75,48,27
Montclair,"36,508",72,50,22
Montebello,"61,570",109,71,38
Monterey,"27,619",66,50,16
Monterey Park,"61,662",102,72,30
Moraga,"17,334",12,11,1
Morgan Hill,"38,986",53,36,17
Morro Bay,"10,382",22,16,6
Mountain View,"72,321",137,94,43
Mount Shasta,"3,509",11,8,3
Murrieta,"104,343",129,86,43
Napa,"75,482",107,66,41
National City,"56,270",120,85,35
Nevada City,"2,936",13,12,1
Newark,"42,099",72,51,21
Newman,"10,544",15,12,3
Newport Beach,"81,882",216,137,79
Novato,"54,009",71,55,16
Oakdale,"21,023",30,21,9
Oakland,"409,723",935,674,261
Oceanside,"173,901",292,208,84
Ontario,"172,814",329,224,105
Orange,"137,606",232,158,74
Orland,"7,326",12,10,2
Oroville,"14,718",36,23,13
Oxnard,"189,051",377,236,141
Pacifica,"37,917",48,36,12
Pacific Grove,"14,537",30,22,8
Palm Springs,"48,696",125,88,37
Palo Alto,"60,288",143,86,57
Palos Verdes Estates,"13,553",31,21,10
Paradise,"26,424",37,24,13
Parlier,"13,532",19,16,3
Pasadena,"144,496",359,240,119
Paso Robles,"29,089",44,32,12
Petaluma,"55,168",93,67,26
Piedmont,"10,519",27,19,8
Pinole,"18,899",47,31,16
Pismo Beach,"8,639",34,23,11
Pittsburg,"65,930",94,72,22
Placentia,"50,237",64,46,18
Placerville,"10,124",25,18,7
Pleasant Hill,"33,048",58,43,15
Pleasanton,"67,823",113,81,32
Pomona,"152,673",262,154,108
Porterville,"52,777",83,58,25
Port Hueneme,"21,510",32,24,8
Red Bluff,"13,836",32,22,10
Redding,"91,414",138,105,33
Redlands,"70,552",117,77,40
Redondo Beach,"66,985",150,94,56
Redwood City,"74,355",116,90,26
Reedley,"23,893",47,33,14
Rialto,"99,232",153,110,43
Richmond,"103,442",289,188,101
Ridgecrest,"25,973",48,32,16
Rio Dell,"3,181",9,8,1
Rio Vista,"8,340",11,10,1
Ripon,"15,271",33,23,10
Riverside,"301,859",512,361,151
Rocklin,"55,524",76,51,25
Rohnert Park,"40,843",79,60,19
Roseville,"119,755",176,119,57
Ross,"2,281",9,9,0
Sacramento,"472,469","1,019",696,323
Salinas,"144,242",210,157,53
San Anselmo,"12,016",26,19,7
San Bernardino,"199,214",484,319,165
San Bruno,"41,517",58,44,14
San Carlos,"27,371",37,30,7
Sand City,372,11,10,1
San Diego,"1,313,433","2,516","1,863",653
San Fernando,"23,719",54,35,19
San Francisco,"818,594","2,629","2,250",379
San Gabriel,"40,281",68,53,15
Sanger,"26,246",42,35,7
San Jose,"970,252","1,624","1,259",365
San Leandro,"78,447",127,87,40
San Luis Obispo,"44,008",83,57,26
San Marino,"12,725",35,28,7
San Mateo,"92,724",142,106,36
San Pablo,"31,122",74,52,22
San Rafael,"55,832",86,65,21
San Ramon,"50,006",78,58,20
Santa Ana,"340,240",623,353,270
Santa Barbara,"85,967",189,131,58
Santa Clara,"112,917",219,137,82
Santa Cruz,"56,860",109,88,21
Santa Maria,"87,803",149,105,44
Santa Monica,"87,817",387,204,183
Santa Paula,"28,810",40,30,10
Santa Rosa,"158,182",244,168,76
Sausalito,"7,180",23,18,5
Scotts Valley,"11,243",25,18,7
Seal Beach,"24,225",49,30,19
Seaside,"34,057",50,41,9
Sebastopol,"7,574",20,14,6
Selma,"23,169",39,31,8
Shafter,"16,247",31,23,8
Sierra Madre,"10,796",23,18,5
Signal Hill,"10,981",48,35,13
Simi Valley,"121,755",173,115,58
Soledad,"28,655",26,21,5
Sonora,"4,627",17,12,5
South Gate,"96,182",125,84,41
South Lake Tahoe,"23,540",60,39,21
South Pasadena,"24,320",49,35,14
South San Francisco,"63,006",100,72,28
Stallion Springs,"1,674",3,3,0
St. Helena,"5,908",15,11,4
Stockton,"292,047",532,342,190
Suisun City,"27,053",37,25,12
Sunnyvale,"134,073",286,213,73
Susanville,"17,067",18,16,2
Sutter Creek,"2,690",5,5,0
Taft,"9,046",26,16,10
Tehachapi,"12,137",16,14,2
Tiburon,"8,728",17,13,4
Torrance,"140,411",335,217,118
Tracy,"81,712",127,85,42
Truckee,"16,491",30,26,4
Tulare,"58,790",101,73,28
Tulelake,949,4,4,0
Turlock,"69,961",122,81,41
Tustin,"72,982",130,90,40
Twin Cities,"21,067",38,30,8
Ukiah,"14,781",41,27,14
