Table 80, ,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2010",,,,
 Metropolitan/Nonmetropolitan , County ,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,635",986,649
,Butte,258,101,157
,Contra Costa,952,637,315
,El Dorado,346,173,173
,Fresno,891,693,198
,Imperial,271,180,91
,Kern,"1,091",822,269
,Kings,214,76,138
,Los Angeles,"16,990","9,501","7,489"
,Madera,104,71,33
,Marin,296,193,103
,Merced,250,113,137
,Monterey,412,307,105
,Napa,129,99,30
,Orange,"3,511","2,074","1,437"
,Placer,403,214,189
,Riverside,"3,805","2,086","1,719"
,Sacramento,"1,897","1,186",711
,San Benito,68,58,10
,San Bernardino,"3,310","1,767","1,543"
,San Diego,"3,675","2,201","1,474"
,San Francisco,"1,065",896,169
,San Joaquin,699,292,407
,San Luis Obispo,358,147,211
,San Mateo,603,320,283
,Santa Barbara,605,436,169
,Santa Clara,690,537,153
,Santa Cruz,313,131,182
,Shasta,210,141,69
,Solano,394,107,287
,Sonoma,655,469,186
,Stanislaus,557,402,155
,Sutter,137,108,29
,Tulare,662,481,181
,Ventura,"1,205",739,466
,Yolo,236,83,153
,Yuba,168,130,38
Nonmetropolitan Counties,Alpine,18,15,3
,Amador,89,46,43
,Calaveras,95,52,43
,Colusa,69,36,33
,Del Norte,63,30,33
,Glenn,68,26,42
,Humboldt,227,177,50
,Inyo,53,34,19
,Lake,153,58,95
,Lassen,94,72,22
,Mariposa,69,56,13
,Mendocino,156,118,38
,Modoc,26,18,8
,Mono,51,28,23
,Nevada,185,72,113
,Plumas,63,31,32
,Sierra,15,10,5
,Siskiyou,99,76,23
,Tehama,112,80,32
,Trinity,31,15,16
,Tuolumne,128,65,63
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
