City,Lat,Lng,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Total officers
Alameda,37.7798721,-122.2821855,Alameda,173,1,15,74,83,1964,389,1360,215,85
Albany,37.886704,-122.2977557,Alameda,37,0,5,24,8,582,95,392,95,25
Alhambra,34.095287,-118.1270146,Los Angeles,185,3,8,82,92,2075,345,1460,270,84
Alturas,41.4871146,-120.5424555,Modoc,5,0,2,0,3,63,28,30,5,7
Anaheim,33.8365932,-117.9143012,Orange,1161,7,88,492,574,8473,1594,5869,1010,389
Anderson,40.448208,-122.2977815,Shasta,77,0,5,10,62,510,90,394,26,16
Antioch,38.0049214,-121.805789,Contra Costa,864,13,32,313,506,3096,1087,1049,960,104
Arcadia,34.1397292,-118.0353449,Los Angeles,88,1,5,36,46,1737,364,1267,106,65
Arcata,40.8665166,-124.0828396,Humboldt,40,0,6,14,20,648,172,444,32,26
Arroyo Grande,35.1185868,-120.5907252,San Luis Obispo,25,0,3,5,17,317,76,224,17,25
Arvin,35.2017986,-118.833105,Kern,187,0,1,19,167,500,186,232,82,18
Atascadero,35.4894169,-120.6707255,San Luis Obispo,79,0,10,8,61,620,152,435,33,26
Atherton,37.4613272,-122.197743,San Mateo,21,0,3,4,14,136,28,107,1,17
Atwater,37.3477174,-120.609084,Merced,114,4,6,23,81,1128,322,700,106,36
Auburn,38.8965654,-121.0768901,Placer,59,0,7,14,38,291,60,189,42,22
Azusa,34.1336186,-117.9075627,Los Angeles,226,2,11,63,150,1136,276,731,129,59
Bakersfield,35.3732921,-119.0187125,Kern,2104,33,34,641,1396,15197,4235,8507,2455,349
Baldwin Park,34.0852868,-117.9608978,Los Angeles,253,2,8,102,141,1752,306,940,506,72
Banning,33.9255713,-116.8764103,Riverside,155,3,7,32,113,546,278,205,63,33
Barstow,34.8957957,-117.0172826,San Bernardino,190,6,8,45,131,777,263,371,143,39
Bear Valley,38.4646337,-120.0399088,Alpine,1,0,1,0,0,72,9,60,3,8
Beaumont,33.9294606,-116.977248,Riverside,87,0,6,16,65,781,173,543,65,56
Bell,33.9775142,-118.1870156,Los Angeles,241,1,12,90,138,601,176,285,140,32
Bell Gardens,33.9652918,-118.1514588,Los Angeles,210,5,5,112,88,940,150,391,399,53
Belmont,37.5202145,-122.2758008,San Mateo,26,0,0,8,18,367,69,268,30,31
Belvedere,37.8727044,-122.4644171,Marin,0,0,0,0,0,25,1,21,3,9
Benicia,38.049365,-122.1585777,Solano,50,1,7,15,27,471,136,268,67,36
Berkeley,37.8715226,-122.273042,Alameda,533,5,23,365,140,5943,1088,4240,615,171
Beverly Hills,34.0736204,-118.4003563,Los Angeles,75,3,4,35,33,985,263,677,45,127
Bishop,37.3614238,-118.3996636,Inyo,22,0,2,3,17,84,19,62,3,12
Blythe,33.6177725,-114.5882607,Riverside,77,0,3,13,61,605,256,332,17,22
Brawley,32.9786566,-115.530267,Imperial,53,0,5,10,38,1102,354,622,126,38
Brea,33.916475,-117.9002918,Orange,71,1,3,28,39,1471,197,1200,74,97
Brentwood,37.931868,-121.6957863,Contra Costa,112,0,6,41,65,1117,214,796,107,61
Brisbane,37.6807661,-122.3999715,San Mateo,5,0,0,1,4,68,13,47,8,13
Broadmoor,37.6913628,-122.4807659,San Mateo,14,0,1,2,11,79,25,45,9,9
Buena Park,33.8674044,-117.9981387,Orange,241,0,13,82,146,2007,355,1270,382,90
Burbank,34.1808392,-118.3089661,Los Angeles,221,0,13,98,110,2687,478,1933,276,149
Burlingame,37.5778696,-122.34809,San Mateo,59,0,5,20,34,702,108,520,74,36
Calexico,32.6789476,-115.4988834,Imperial,77,0,5,34,38,1429,518,584,327,40
California City,35.125801,-117.9859038,Kern,56,3,4,2,47,475,184,257,34,15
Calipatria,33.1255957,-115.5141538,Imperial,15,0,0,0,15,19,12,7,0,4
Calistoga,38.5787965,-122.5797054,Napa,8,0,2,2,4,126,25,97,4,11
Campbell,37.2871651,-121.9499568,Santa Clara,83,0,10,32,41,1451,319,1017,115,40
Capitola,36.9752283,-121.953293,Santa Cruz,113,0,3,11,99,708,78,608,22,21
Carlsbad,33.1580933,-117.3505939,San Diego,195,0,20,41,134,1820,399,1313,108,110
Carmel,36.5552386,-121.9232879,Monterey,13,0,3,3,7,106,31,74,1,13
Cathedral City,33.7805388,-116.4668036,Riverside,249,3,17,49,180,1505,556,660,289,53
Ceres,37.5949316,-120.9577098,Stanislaus,168,3,7,57,101,1946,360,1134,452,49
Chico,39.7284944,-121.8374777,Butte,245,1,47,88,109,2347,710,1416,221,97
Chino,34.0122346,-117.688944,San Bernardino,264,0,13,76,175,2009,479,1314,216,102
Chowchilla,37.1229997,-120.2601754,Madera,64,0,5,5,54,344,153,168,23,17
Chula Vista,32.6400541,-117.0841955,San Diego,663,2,54,254,353,5124,760,3255,1109,230
Citrus Heights,38.7071247,-121.2810611,Sacramento,385,4,25,155,201,3931,756,2675,500,87
City of Angels,34.0522342,-118.2436849,Los Angeles,11,0,1,2,8,67,24,38,5,6
Claremont,34.0966764,-117.7197785,Los Angeles,49,0,5,26,18,877,231,595,51,35
Clayton,37.9410341,-121.9357925,Contra Costa,15,0,0,9,6,142,38,96,8,11
Clearlake,38.9582307,-122.6263728,Lake,73,0,9,20,44,584,188,310,86,18
Cloverdale,38.8054624,-123.0172227,Sonoma,19,0,5,2,12,174,39,123,12,15
Clovis,36.8252277,-119.7029194,Fresno,165,2,31,55,77,3569,755,2428,386,94
Coalinga,36.139678,-120.3601496,Fresno,124,0,6,12,106,539,173,343,23,21
Colma,37.6768779,-122.459695,San Mateo,8,0,0,5,3,259,6,236,17,17
Colton,34.0739016,-117.3136547,San Bernardino,170,6,14,79,71,1579,406,890,283,58
Colusa,39.2143343,-122.0094175,Colusa,11,0,2,1,8,124,37,77,10,8
Concord,37.9779776,-122.0310733,Contra Costa,551,4,28,167,352,3799,922,2128,749,147
Corcoran,36.098007,-119.5604015,Kings,42,0,1,4,37,289,119,135,35,19
Corning,39.9276572,-122.1791556,Tehama,46,0,5,6,35,314,63,228,23,15
Corona,33.8752935,-117.5664384,Riverside,199,2,15,90,92,3536,650,2453,433,172
Coronado,32.6858853,-117.1830891,San Diego,25,0,0,3,22,442,69,336,37,43
Costa Mesa,33.6638439,-117.9047429,Orange,240,1,34,93,112,3194,458,2454,282,147
Cotati,38.3293416,-122.7096666,Sonoma,35,0,0,6,29,86,28,55,3,9
Covina,34.0900091,-117.8903397,Los Angeles,171,1,7,77,86,1643,377,1072,194,55
Crescent City,41.7557501,-124.2025913,Del Norte,28,0,8,2,18,287,87,190,10,14
Culver City,34.0211224,-118.3964665,Los Angeles,149,0,4,94,51,1638,177,1337,124,99
Cypress,33.8169366,-118.0368507,Orange,63,0,2,37,24,787,121,584,82,56
Daly City,37.6879241,-122.4702079,San Mateo,250,2,9,105,134,1804,332,1152,320,108
Davis,38.5449065,-121.7405167,Yolo,99,0,18,30,51,1738,415,1220,103,58
Delano,35.7688425,-119.2470536,Kern,247,0,6,55,186,1651,773,446,432,46
Del Rey Oaks,36.5932934,-121.8349515,Monterey,1,0,0,0,1,57,6,50,1,6
Desert Hot Springs,33.961124,-116.5016784,Riverside,374,3,8,67,296,1380,573,630,177,25
Dinuba,36.5432837,-119.3870656,Tulare,177,1,2,25,149,825,301,402,122,35
Dixon,38.4454641,-121.8232958,Solano,69,0,11,18,40,481,71,358,52,24
Dos Palos,36.9860582,-120.6265722,Merced,48,1,3,5,39,171,58,105,8,7
Downey,33.9401088,-118.1331593,Los Angeles,394,6,17,199,172,3956,656,2372,928,118
East Palo Alto,37.4688273,-122.1410751,San Mateo,271,4,18,103,146,846,364,248,234,37
El Cajon,32.7947731,-116.9625269,San Diego,387,0,15,169,203,2766,552,1678,536,120
El Centro,32.792,-115.5630514,Imperial,197,1,7,45,144,2408,672,1546,190,52
El Cerrito,37.9161326,-122.310765,Contra Costa,134,0,2,75,57,947,208,590,149,43
Elk Grove,38.4087993,-121.3716178,Sacramento,529,2,14,108,405,3204,653,2208,343,123
