County,County Type,Lat,Lng,Violent  crime,Murder and  nonnegligent  manslaughter,Forcible  rape,Robbery,Aggravated  assault,Property  crime,Burglary,Larceny- theft,Motor  vehicle  theft
Alameda,Metropolitan,37.6016892,-121.7195459,698,8,18,235,437,2212,622,1041,549
Butte,Metropolitan,39.6253952,-121.5370003,133,4,18,24,87,1296,564,721,11
Contra Costa,Metropolitan,37.8534093,-121.9017954,449,12,28,119,290,2754,1011,1729,14
El Dorado,Metropolitan,38.74263759999999,-120.4357631,256,3,15,34,204,1990,864,1114,12
Fresno,Metropolitan,36.9858984,-119.2320784,727,10,33,116,568,4442,1466,2230,746
Imperial,Metropolitan,33.0113694,-115.4733554,265,2,9,13,241,600,283,295,22
Kern,Metropolitan,35.4937274,-118.8596804,1977,34,95,463,1385,10246,3368,5152,1726
Kings,Metropolitan,36.0988489,-119.8815203,140,1,9,12,118,594,243,306,45
Los Angeles,Metropolitan,34.0522265,-118.2436596,6497,86,208,1770,4433,17310,5046,8174,4090
Madera,Metropolitan,37.251926,-119.6962677,233,2,22,24,185,1357,585,755,17
Marin,Metropolitan,38.083403,-122.7633036,115,1,6,28,80,813,239,573,1
Merced,Metropolitan,37.2009788,-120.7120023,484,12,22,49,401,2026,778,1227,21
Monterey,Metropolitan,36.3136201,-121.3541631,228,11,19,51,147,1316,567,735,14
Napa,Metropolitan,38.5024689,-122.2653887,56,0,3,2,51,379,157,219,3
Orange,Metropolitan,33.7174708,-117.8311428,187,0,8,32,147,1275,255,910,110
Placer,Metropolitan,39.0915751,-120.8039474,298,0,24,30,244,1950,645,1275,30
Riverside,Metropolitan,33.9532966,-117.3961192,1018,21,50,247,700,10310,2892,5776,1642
Sacramento,Metropolitan,38.47467,-121.3541631,2902,39,155,1131,1577,14506,5038,9309,159
San Benito,Metropolitan,36.5760883,-120.9876321,53,0,4,5,44,336,134,197,5
San Bernardino,Metropolitan,34.9592083,-116.419389,1093,16,61,145,871,5580,1942,2574,1064
San Diego,Metropolitan,32.7157305,-117.1610966,1432,13,87,278,1054,5985,1755,3106,1124
San Joaquin,Metropolitan,37.9175935,-121.1710389,738,8,17,168,545,4418,1656,2664,98
San Luis Obispo,Metropolitan,35.3102296,-120.4357631,241,6,18,18,199,1295,437,853,5
San Mateo,Metropolitan,37.4337342,-122.4014193,224,2,18,53,151,1770,229,1332,209
Santa Barbara,Metropolitan,34.4208321,-119.6982057,285,3,34,27,221,1481,564,912,5
Santa Clara,Metropolitan,37.3336581,-121.8907041,254,1,28,24,201,1762,438,1113,211
Santa Cruz,Metropolitan,37.0453988,-121.9579578,301,7,18,36,240,2232,812,1419,1
Shasta,Metropolitan,40.7908864,-121.8474493,582,1,54,23,504,1058,568,466,24
Sonoma,Metropolitan,38.5779555,-122.9888319,587,0,37,49,501,1388,547,821,20
Stanislaus,Metropolitan,37.5090711,-120.9876321,414,11,33,106,264,3002,1320,1421,261
Sutter,Metropolitan,39.0219764,-121.6739371,143,3,8,12,120,661,203,413,45
Ventura,Metropolitan,34.3704884,-119.1390642,192,1,18,31,142,1323,349,894,80
Yolo,Metropolitan,38.7646021,-121.9017954,62,1,7,6,48,364,105,244,15
Yuba,Metropolitan,39.2547027,-121.3998995,159,1,14,28,116,1031,390,634,7
Alpine,Nonmetropolitan,38.5940736,-119.8815203,10,0,3,0,7,73,15,58,0
Amador,Nonmetropolitan,38.3488921,-120.7740931,60,1,9,6,44,485,180,301,4
Calaveras,Nonmetropolitan,38.1960477,-120.6805037,82,1,10,12,59,654,282,361,11
Colusa,Nonmetropolitan,39.1040645,-122.2653887,22,0,3,5,14,257,81,167,9
Del Norte,Nonmetropolitan,41.7076287,-123.9659708,82,3,19,12,48,377,218,157,2
Glenn,Nonmetropolitan,39.6437813,-122.4467238,16,1,0,0,15,180,85,85,10
Humboldt,Nonmetropolitan,40.7450055,-123.8695086,242,5,33,33,171,1208,450,732,26
Inyo,Nonmetropolitan,36.3091865,-117.5495846,47,0,2,1,44,139,62,74,3
Lake,Nonmetropolitan,39.08396440000001,-122.8084496,199,4,18,17,160,895,396,492,7
Lassen,Nonmetropolitan,40.5394389,-120.7120023,36,0,2,1,33,129,47,78,4
Mariposa,Nonmetropolitan,37.4893626,-119.9679294,37,0,5,2,30,294,124,170,0
Mendocino,Nonmetropolitan,39.5500194,-123.438353,310,3,24,19,264,551,260,286,5
Modoc,Nonmetropolitan,41.4565165,-120.629366,12,0,4,0,8,60,37,23,0
Mono,Nonmetropolitan,37.9218608,-118.9528645,13,0,3,0,10,71,21,50,0
Nevada,Nonmetropolitan,39.1346666,-121.1710389,137,1,17,4,115,578,250,324,4
Plumas,Nonmetropolitan,39.99268319999999,-120.8039474,109,0,13,5,91,326,167,155,4
Sierra,Nonmetropolitan,39.5532845,-120.2512728,19,0,0,0,19,44,10,34,0
Siskiyou,Nonmetropolitan,41.7743261,-122.5770126,37,1,2,2,32,232,99,129,4
Tehama,Nonmetropolitan,40.0982197,-122.174605,181,1,3,11,166,278,165,112,1
Trinity,Nonmetropolitan,40.6329485,-123.0622553,34,0,4,3,27,98,33,65,0
Tuolumne,Nonmetropolitan,38.029655,-119.9740534,97,1,21,15,60,757,325,422,10
