County,County Type,Violent Crime,Murder And Nonnegligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny- Theft,Motor Vehicle Theft,Total Officers,Population,Land Area
Alameda,Metropolitan,10308,132,519,4767,4890,47547,11708,26822,9017,2751,1510271,739
Butte,Metropolitan,751,7,89,153,502,5464,1826,3265,373,260,220000,1636
Contra Costa,Metropolitan,4257,65,187,1525,2480,28491,7546,15494,5451,1612,1049025,715
El Dorado,Metropolitan,485,3,34,66,382,2614,1112,1460,42,230,181058,1707
Fresno,Metropolitan,4904,63,181,1358,3302,38442,8982,22680,6780,1793,930450,5957
Imperial,Metropolitan,618,3,26,105,484,5659,1867,3106,686,335,174528,4176
Kern,Metropolitan,4875,74,163,1221,3417,30156,9420,15747,4989,1345,839631,8131
Kings,Metropolitan,530,3,29,85,413,2874,791,1722,361,173,152982,1389
Los Angeles,Metropolitan,49447,612,2046,21520,25269,229063,48534,137944,42585,23991,9818605,4057
Madera,Metropolitan,654,10,49,129,466,3020,1198,1475,347,147,150865,2137
Marin,Metropolitan,492,4,46,144,298,4409,988,2996,425,413,252409,520
Merced,Metropolitan,1445,26,72,268,1079,7704,2346,4839,519,315,255793,1934
Monterey,Metropolitan,2030,44,80,574,1332,9992,2951,5922,1119,700,415057,3280
Napa,Metropolitan,364,1,29,71,263,2761,637,1942,182,187,136484,748
Orange,Metropolitan,6876,67,446,2573,3790,59961,10806,43141,6014,4694,3010232,790
Placer,Metropolitan,778,2,63,159,554,7522,1579,5516,427,437,348432,1407
Riverside,Metropolitan,6575,87,373,2145,3970,58526,16752,33620,8154,3118,2189641,7206
Sacramento,Metropolitan,8501,82,387,3093,4939,46773,12720,28605,5448,2232,1418788,964
San Benito,Metropolitan,212,1,13,35,163,1225,555,571,99,83,55269,1388
San Bernardino,Metropolitan,8368,104,483,2647,5134,54291,14463,31284,8544,3010,2035210,20056
San Diego,Metropolitan,11571,66,662,3336,7507,66250,13909,39894,12447,5087,3095313,4206
San Francisco,Metropolitan,5747,48,133,3180,2386,32365,4557,23905,3903,3146,805235,46
San Joaquin,Metropolitan,5427,63,161,1826,3377,27015,7434,16728,2853,883,685306,1391
San Luis Obispo,Metropolitan,651,6,81,92,472,5759,1499,4060,200,344,269637,3298
San Mateo,Metropolitan,1759,20,125,585,1029,14517,2984,9703,1830,1104,718451,448
Santa Barbara,Metropolitan,1835,11,127,313,1384,8051,1905,5644,502,733,423895,2735
Santa Clara,Metropolitan,4605,25,383,1418,2779,39656,7147,25459,7050,2616,1781642,1290
Santa Cruz,Metropolitan,1307,14,68,267,958,7662,1702,5575,385,324,262382,445
Shasta,Metropolitan,1452,3,120,138,1191,4605,1507,2806,292,262,177223,3775
Solano,Metropolitan,1823,31,137,783,872,12117,3748,6340,2029,506,413344,821
Sonoma,Metropolitan,1873,6,126,277,1464,8407,1885,6042,480,818,483878,1575
Stanislaus,Metropolitan,2669,29,134,767,1739,20075,5386,11687,3002,801,514453,1494
Sutter,Metropolitan,359,5,30,63,261,2444,612,1635,197,172,94737,602
Ventura,Metropolitan,1739,18,105,626,990,15731,3045,11604,1082,1266,823318,1843
Yolo,Metropolitan,500,3,72,140,285,5129,1234,3419,476,281,200849,1014
Yuba,Metropolitan,247,2,24,45,176,1484,524,881,79,157,72155,631
Alpine,Nonmetropolitan,11,0,4,0,7,145,24,118,3,23,1175,738
Amador,Nonmetropolitan,110,1,12,10,87,811,267,521,23,66,38091,594
Calaveras,Nonmetropolitan,82,1,10,12,59,654,282,361,11,52,45578,1020
Colusa,Nonmetropolitan,48,0,5,8,35,474,140,302,32,55,21419,1150
Del Norte,Nonmetropolitan,110,3,27,14,66,664,305,347,12,44,28610,1006
Glenn,Nonmetropolitan,73,1,5,15,52,579,189,330,60,46,28122,1313
Humboldt,Nonmetropolitan,519,6,61,109,343,3961,1383,2329,249,281,134623,3567
Inyo,Nonmetropolitan,69,0,4,4,61,223,81,136,6,46,18546,10180
Lake,Nonmetropolitan,292,4,29,42,217,1761,647,1012,102,87,64665,1256
Lassen,Nonmetropolitan,118,1,8,12,97,488,181,286,21,88,34895,4541
Mariposa,Nonmetropolitan,37,0,5,2,30,294,124,170,0,56,18251,1448
Mendocino,Nonmetropolitan,487,4,43,45,395,1361,511,795,55,173,87841,3506
Modoc,Nonmetropolitan,17,0,6,0,11,123,65,53,5,25,9686,3917
Mono,Nonmetropolitan,59,0,11,2,46,301,89,206,6,46,14202,3048
Nevada,Nonmetropolitan,309,1,26,22,260,1385,438,908,39,133,98764,957
Plumas,Nonmetropolitan,109,0,13,5,91,326,167,155,4,31,20007,2553
Sierra,Nonmetropolitan,19,0,0,0,19,44,10,34,0,10,3240,953
Siskiyou,Nonmetropolitan,138,1,10,8,119,813,278,497,38,117,44900,6277
Tehama,Nonmetropolitan,369,1,22,31,315,1492,520,918,54,117,63463,2949
Trinity,Nonmetropolitan,34,0,4,3,27,98,33,65,0,15,13786,3179
Tuolumne,Nonmetropolitan,121,1,23,21,76,1138,403,712,23,77,55365,2220
